Date,Nickname,Social_energy,Impulsivity,Lighting,Ideation,Team_role,Room
2023/11/15 3:36:37 PM GMT,sanju,Increases,Spontaneous,Bright,Wait,Follower,Tidy
2023/11/15 3:37:33 PM GMT,77,Decreases,Spontaneous,Dimmed,Wait,Leader,Messy
2023/11/15 3:38:32 PM GMT,Kuba,Decreases,Planner,Dimmed,Wait,Leader,Tidy
2023/11/15 3:39:04 PM GMT,Raz,Increases,Spontaneous,Dimmed,Start,Leader,Messy
2023/11/15 3:42:46 PM GMT,Govod,Decreases,Planner,Dimmed,Wait,Follower,Messy
2023/11/15 3:44:32 PM GMT,Kerri (Kez in High School),Decreases,Planner,Dimmed,Wait,Leader,Tidy
2023/11/15 3:48:37 PM GMT,OOO,Decreases,Planner,Bright,Start,Follower,Messy
2023/11/15 3:51:10 PM GMT,J,Decreases,Spontaneous,Bright,Wait,Leader,Tidy
2023/11/15 4:02:31 PM GMT,Jin,Increases,Planner,Bright,Start,Leader,Messy
2023/11/15 4:27:45 PM GMT,Hmmm,Decreases,Spontaneous,Dimmed,Start,Leader,Messy
2023/11/15 4:30:55 PM GMT,kiki,Decreases,Planner,Dimmed,Wait,Leader,Tidy
2023/11/15 4:34:01 PM GMT,Kyndro,Increases,Planner,Dimmed,Start,Follower,Tidy
2023/11/15 7:54:59 PM GMT,QingQing,Increases,Spontaneous,Dimmed,Wait,Follower,Messy
2023/11/16 12:50:53 AM GMT,Ksu,Decreases,Planner,Dimmed,Wait,Leader,Messy
2023/11/16 10:19:26 AM GMT,Omot,Increases,Spontaneous,Bright,Wait,Leader,Messy
2023/11/16 11:30:36 AM GMT,My name,Increases,Spontaneous,Bright,Wait,Leader,Messy
2023/11/16 12:11:26 PM GMT,night bitch,Increases,Spontaneous,Dimmed,Start,Follower,Messy
